Saved Date,Job Url,Job Title,Company Name
"6/28/24, 6:00 AM",http://www.linkedin.com/jobs/view/3937510610,Principal Data Architect,Tealium
"6/11/24, 3:04 AM",http://www.linkedin.com/jobs/view/3903738206,"Senior Director, AI and ML Operations Engineering, Data and Technology Transformation",FTI Consulting
"8/5/24, 9:13 PM",http://www.linkedin.com/jobs/view/3912359979,Associate Director - AI Machine Learning Engineer,Eli Lilly and Company
"7/23/24, 3:24 PM",http://www.linkedin.com/jobs/view/3966455442,"Vice President, Artificial Intelligence (AI), Digital & Data Strategy",VSP Vision Care
"9/1/24, 12:47 PM",http://www.linkedin.com/jobs/view/3950989106,AIML Architect,CGI
"6/28/24, 11:15 AM",http://www.linkedin.com/jobs/view/3909407741,"Director, Data Science - AI","Sprout Social, Inc."
"7/5/24, 4:05 PM",http://www.linkedin.com/jobs/view/3909212158,"Principal Engineer, Machine Learning Engineering",Qualcomm
"11/11/24, 10:30 PM",http://www.linkedin.com/jobs/view/3973043049,Senior Programmer Analyst - Student Data Management - Office of Data Governance,Gwinnett County Public Schools
"6/13/24, 9:45 PM",http://www.linkedin.com/jobs/view/3913975163,Solutions Architect Manager,NVIDIA
"7/8/24, 2:58 PM",http://www.linkedin.com/jobs/view/3833699459,Global Advanced Analytics Data Scientist Lead (US),UCB
"6/28/24, 2:56 PM",http://www.linkedin.com/jobs/view/3937500099,"Senior Director, Data Platform, Data Assets and Governance",GoFundMe
"9/14/24, 3:45 AM",http://www.linkedin.com/jobs/view/3943871669,"Director, Copilot GenAI Solution Architect",KPMG US
"9/23/24, 3:26 PM",http://www.linkedin.com/jobs/view/3921147218,"Engineering Manager, TLM (Developer - Onchain Payments)",Coinbase
"9/4/24, 2:52 PM",http://www.linkedin.com/jobs/view/3804105713,,
"7/29/24, 9:36 AM",http://www.linkedin.com/jobs/view/3814498176,Senior AI Data Product Manager,DataRobot
"7/9/24, 1:48 AM",http://www.linkedin.com/jobs/view/3917908703,Software Development Architect - AIOps,BMC Software
"6/28/24, 8:44 AM",http://www.linkedin.com/jobs/view/3854754372,,
